,license_plate,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_2020,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,kreis_name
476,ND,9185,15335,16212,16140,16544,17117,17407,17920,18515,19017,18668,19476,20295,20807,21204,21756,22307,22952,23523,24338,1356051,1446190,1451884,1494609,1549461,1575790,1618694,1670643,1717467,1686894,1761096,1841228,1901336,1955922,2025522,2098653,2185150,2257296,2346761,3797.0,3600.0,3359.0,3661.0,3357.0,3376.0,3362.0,2974.0,85460,86399,87077,87626,88239,88798,89707,90532,90987,91200,91215,91084,90987,91200,91211,91399,90723,91378,92242,93103,94080,95207,95962,96422,96992,"      Neuburg-Schrobenhausen, Landkreis"
477,SOB,9185,15335,16212,16140,16544,17117,17407,17920,18515,19017,18668,19476,20295,20807,21204,21756,22307,22952,23523,24338,1356051,1446190,1451884,1494609,1549461,1575790,1618694,1670643,1717467,1686894,1761096,1841228,1901336,1955922,2025522,2098653,2185150,2257296,2346761,3797.0,3600.0,3359.0,3661.0,3357.0,3376.0,3362.0,2974.0,85460,86399,87077,87626,88239,88798,89707,90532,90987,91200,91215,91084,90987,91200,91211,91399,90723,91378,92242,93103,94080,95207,95962,96422,96992,"      Neuburg-Schrobenhausen, Landkreis"
478,NM,9373,15349,16599,16252,16548,16940,17241,17665,18106,18721,18483,19219,20111,20776,21377,21897,22407,23371,23805,24718,1921739,2093538,2062310,2109682,2164541,2201842,2253304,2307413,2380902,2345473,2434242,2546472,2637486,2725224,2811658,2905696,3062103,3145915,3289978,4078.0,3783.0,4330.0,3610.0,3586.0,4100.0,3332.0,3235.0,119723,121216,122490,123545,124675,125932,126742,127668,128265,128752,128814,128650,128565,128351,128028,127900,126618,126946,127486,128401,129680,131024,132153,133103,134067,"      Neumarkt i.d.OPf., Landkreis"
479,PAR,9373,15349,16599,16252,16548,16940,17241,17665,18106,18721,18483,19219,20111,20776,21377,21897,22407,23371,23805,24718,1921739,2093538,2062310,2109682,2164541,2201842,2253304,2307413,2380902,2345473,2434242,2546472,2637486,2725224,2811658,2905696,3062103,3145915,3289978,4078.0,3783.0,4330.0,3610.0,3586.0,4100.0,3332.0,3235.0,119723,121216,122490,123545,124675,125932,126742,127668,128265,128752,128814,128650,128565,128351,128028,127900,126618,126946,127486,128401,129680,131024,132153,133103,134067,"      Neumarkt i.d.OPf., Landkreis"
480,NK,10043,14125,14928,14923,15062,15469,15782,15928,16185,16650,16790,17371,17978,18058,18247,18670,19069,19462,19929,19925,2072086,2177993,2167298,2177522,2222416,2250706,2252352,2269122,2311568,2305360,2359876,2421898,2429360,2438851,2485345,2543403,2605246,2663397,2645108,8468.0,8117.0,7428.0,8486.0,8111.0,7798.0,8055.0,7588.0,150224,150280,149995,149194,148369,147624,147031,146458,145954,145016,144203,143037,141984,140746,139219,137901,135394,134528,133661,133122,133378,133860,133641,132752,131807,"      Neunkirchen, Landkreis"
481,NEA,9575,14593,15614,15552,15876,16365,16585,17053,17639,18296,18017,18899,19822,20194,20572,21490,21671,21965,22505,23283,1436518,1544463,1545693,1582837,1634929,1658646,1700885,1751610,1807946,1770763,1848504,1933455,1968195,2004669,2098403,2129799,2175460,2238976,2328382,3070.0,3148.0,2868.0,3010.0,2770.0,2982.0,2824.0,2523.0,94496,95531,96529,97332,97902,98393,98980,99400,99715,99902,100079,99706,99321,98859,98310,97791,97542,97464,97446,97645,98280,99042,99487,100003,100689,"      Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
482,SEF,9575,14593,15614,15552,15876,16365,16585,17053,17639,18296,18017,18899,19822,20194,20572,21490,21671,21965,22505,23283,1436518,1544463,1545693,1582837,1634929,1658646,1700885,1751610,1807946,1770763,1848504,1933455,1968195,2004669,2098403,2129799,2175460,2238976,2328382,3070.0,3148.0,2868.0,3010.0,2770.0,2982.0,2824.0,2523.0,94496,95531,96529,97332,97902,98393,98980,99400,99715,99902,100079,99706,99321,98859,98310,97791,97542,97464,97446,97645,98280,99042,99487,100003,100689,"      Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
483,UFF,9575,14593,15614,15552,15876,16365,16585,17053,17639,18296,18017,18899,19822,20194,20572,21490,21671,21965,22505,23283,1436518,1544463,1545693,1582837,1634929,1658646,1700885,1751610,1807946,1770763,1848504,1933455,1968195,2004669,2098403,2129799,2175460,2238976,2328382,3070.0,3148.0,2868.0,3010.0,2770.0,2982.0,2824.0,2523.0,94496,95531,96529,97332,97902,98393,98980,99400,99715,99902,100079,99706,99321,98859,98310,97791,97542,97464,97446,97645,98280,99042,99487,100003,100689,"      Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
484,NEW,9374,14997,16085,15583,15729,15972,16047,16333,16587,17014,16650,17326,18205,18770,19135,19798,20746,20786,21496,22309,1507705,1619001,1571287,1584604,1600965,1601138,1621079,1636886,1669381,1623052,1677885,1753399,1801417,1830237,1887020,1973551,1970594,2031507,2106431,3452.0,3595.0,4332.0,3998.0,3260.0,3519.0,3659.0,3557.0,99166,99737,100052,100466,100710,100809,101064,101299,101234,100651,100357,99742,99201,98718,98071,97471,96315,95972,95648,95316,95131,94803,94507,94419,94401,"      Neustadt a.d.Waldnaab, Landkreis"
485,ESB,9374,14997,16085,15583,15729,15972,16047,16333,16587,17014,16650,17326,18205,18770,19135,19798,20746,20786,21496,22309,1507705,1619001,1571287,1584604,1600965,1601138,1621079,1636886,1669381,1623052,1677885,1753399,1801417,1830237,1887020,1973551,1970594,2031507,2106431,3452.0,3595.0,4332.0,3998.0,3260.0,3519.0,3659.0,3557.0,99166,99737,100052,100466,100710,100809,101064,101299,101234,100651,100357,99742,99201,98718,98071,97471,96315,95972,95648,95316,95131,94803,94507,94419,94401,"      Neustadt a.d.Waldnaab, Landkreis"
486,VOH,9374,14997,16085,15583,15729,15972,16047,16333,16587,17014,16650,17326,18205,18770,19135,19798,20746,20786,21496,22309,1507705,1619001,1571287,1584604,1600965,1601138,1621079,1636886,1669381,1623052,1677885,1753399,1801417,1830237,1887020,1973551,1970594,2031507,2106431,3452.0,3595.0,4332.0,3998.0,3260.0,3519.0,3659.0,3557.0,99166,99737,100052,100466,100710,100809,101064,101299,101234,100651,100357,99742,99201,98718,98071,97471,96315,95972,95648,95316,95131,94803,94507,94419,94401,"      Neustadt a.d.Waldnaab, Landkreis"
487,NR,7138,16174,16920,16711,17091,17691,18225,19086,19700,19630,19988,19532,20148,20708,20496,20942,21463,22068,22484,23438,2976912,3123232,3096131,3172754,3287556,3382350,3527426,3624664,3592264,3636343,3538283,3640708,3730687,3681738,3756776,3862968,3996341,4082966,4260966,11263.0,11479.0,11194.0,10866.0,10625.0,9760.0,10116.0,9451.0,177009,179327,181087,182514,183480,184001,184592,185084,185591,185835,185555,184849,184101,183134,182009,181235,180701,180155,179633,179386,179986,181097,181596,181798,182376,"      Neuwied, Landkreis"
488,NI,3256,14455,14990,14846,15283,15462,15660,15965,16138,16687,16865,17371,18106,18570,19053,19430,19810,20134,20749,21191,1812979,1883455,1866340,1918454,1940020,1962913,1994943,2008207,2062984,2068263,2115105,2197563,2243382,2287037,2326565,2379853,2437559,2520700,2573178,6819.0,6646.0,6345.0,6856.0,6405.0,6651.0,6727.0,6897.0,123266,124251,124718,125194,125566,126093,126458,126641,126399,126497,126471,125993,125599,124677,123867,123101,121372,120808,120037,119740,120132,121068,121487,121428,121388,"      Nienburg (Weser), Landkreis"
489,NF,1054,14560,15159,15065,15700,15988,16685,17319,18007,18756,18930,19325,20189,20723,21597,22613,23360,23930,24470,25129,2374104,2478301,2472182,2585430,2638921,2757729,2862578,2972812,3090083,3108074,3163721,3296452,3370242,3500365,3664755,3809526,3935054,4042215,4158424,9809.0,9190.0,8938.0,10547.0,8561.0,8964.0,8277.0,8444.0,158333,159886,161405,162583,163621,164147,164715,165537,166123,166574,166937,166889,166892,166596,166101,165774,163278,162633,162080,162063,163082,164443,165194,165485,165729,"      Nordfriesland, Landkreis"
490,NDH,16062,12304,12837,13091,13380,13720,13775,14251,14585,14972,15056,15325,15726,16035,16412,16668,17078,17752,18415,18907,1203686,1243469,1253448,1265662,1281749,1271389,1300195,1315534,1337259,1332303,1345421,1370316,1384299,1405694,1420401,1455135,1512940,1563408,1593102,5669.0,5974.0,5694.0,5512.0,5838.0,5843.0,5395.0,5750.0,102166,101510,101058,100464,99714,99045,98124,97192,96117,95078,94106,93100,92211,91354,90649,90122,87135,86328,85651,85218,85205,85227,84898,84260,83619,"      Nordhausen, Kreis"
491,TDO,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
492,DZ,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
493,EB,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
494,OZ,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
495,TG,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
496,TO,14730,12803,13484,13758,14074,14460,14464,14874,15351,15745,15884,16394,16805,17097,17561,17873,18471,19051,19734,20340,2931814,3055634,3081377,3118599,3175513,3145485,3196233,3255650,3292510,3274503,3334377,3378851,3408123,3476820,3524459,3644807,3768936,3905992,4021905,12549.0,12447.0,12212.0,13452.0,12031.0,12529.0,13008.0,13048.0,230765,231943,233088,233112,232372,231021,228858,226440,224262,222493,220554,218160,215544,212867,209906,207418,201066,199346,197988,197194,197324,197834,197929,197734,197707,"      Nordsachsen, Landkreis"
497,NWM,13074,12359,12996,13307,13391,13774,14024,14512,14867,15377,15472,15643,16177,16642,17084,17414,17886,18377,19061,19643,2067409,2166033,2207613,2211769,2265858,2299318,2366265,2407023,2471955,2468113,2476874,2532957,2594596,2657170,2705107,2787556,2876911,2990813,3081201,10716.0,10374.0,9966.0,10315.0,9671.0,9395.0,9392.0,9669.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156578,155903,155533,155345,155847,156548,156909,156861,157026,      Landkreis Nordwestmecklenburg
498,GDB,13074,12359,12996,13307,13391,13774,14024,14512,14867,15377,15472,15643,16177,16642,17084,17414,17886,18377,19061,19643,2067409,2166033,2207613,2211769,2265858,2299318,2366265,2407023,2471955,2468113,2476874,2532957,2594596,2657170,2705107,2787556,2876911,2990813,3081201,10716.0,10374.0,9966.0,10315.0,9671.0,9395.0,9392.0,9669.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156578,155903,155533,155345,155847,156548,156909,156861,157026,      Landkreis Nordwestmecklenburg
499,GVM,13074,12359,12996,13307,13391,13774,14024,14512,14867,15377,15472,15643,16177,16642,17084,17414,17886,18377,19061,19643,2067409,2166033,2207613,2211769,2265858,2299318,2366265,2407023,2471955,2468113,2476874,2532957,2594596,2657170,2705107,2787556,2876911,2990813,3081201,10716.0,10374.0,9966.0,10315.0,9671.0,9395.0,9392.0,9669.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156578,155903,155533,155345,155847,156548,156909,156861,157026,      Landkreis Nordwestmecklenburg
500,WIS,13074,12359,12996,13307,13391,13774,14024,14512,14867,15377,15472,15643,16177,16642,17084,17414,17886,18377,19061,19643,2067409,2166033,2207613,2211769,2265858,2299318,2366265,2407023,2471955,2468113,2476874,2532957,2594596,2657170,2705107,2787556,2876911,2990813,3081201,10716.0,10374.0,9966.0,10315.0,9671.0,9395.0,9392.0,9669.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156578,155903,155533,155345,155847,156548,156909,156861,157026,      Landkreis Nordwestmecklenburg
501,HWI,13074,12359,12996,13307,13391,13774,14024,14512,14867,15377,15472,15643,16177,16642,17084,17414,17886,18377,19061,19643,2067409,2166033,2207613,2211769,2265858,2299318,2366265,2407023,2471955,2468113,2476874,2532957,2594596,2657170,2705107,2787556,2876911,2990813,3081201,10716.0,10374.0,9966.0,10315.0,9671.0,9395.0,9392.0,9669.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156578,155903,155533,155345,155847,156548,156909,156861,157026,      Landkreis Nordwestmecklenburg
502,NOM,3155,14803,15383,15385,15772,15792,16120,16530,16807,17282,17416,17798,18480,19061,19389,19916,20429,20938,21636,22303,2234084,2307139,2292865,2336444,2326185,2359403,2399649,2416882,2457027,2444808,2468580,2535893,2591623,2618295,2674384,2745721,2811000,2884723,2964251,7208.0,6986.0,7589.0,7791.0,6671.0,6692.0,6794.0,6387.0,154194,153899,153300,152550,151978,151515,150601,149667,148968,148185,147204,146158,144782,143201,141386,139841,137225,135967,135040,134283,134401,134253,133328,132906,132525,"      Northeim, Landkreis"
503,EIN,3155,14803,15383,15385,15772,15792,16120,16530,16807,17282,17416,17798,18480,19061,19389,19916,20429,20938,21636,22303,2234084,2307139,2292865,2336444,2326185,2359403,2399649,2416882,2457027,2444808,2468580,2535893,2591623,2618295,2674384,2745721,2811000,2884723,2964251,7208.0,6986.0,7589.0,7791.0,6671.0,6692.0,6794.0,6387.0,154194,153899,153300,152550,151978,151515,150601,149667,148968,148185,147204,146158,144782,143201,141386,139841,137225,135967,135040,134283,134401,134253,133328,132906,132525,"      Northeim, Landkreis"
504,GAN,3155,14803,15383,15385,15772,15792,16120,16530,16807,17282,17416,17798,18480,19061,19389,19916,20429,20938,21636,22303,2234084,2307139,2292865,2336444,2326185,2359403,2399649,2416882,2457027,2444808,2468580,2535893,2591623,2618295,2674384,2745721,2811000,2884723,2964251,7208.0,6986.0,7589.0,7791.0,6671.0,6692.0,6794.0,6387.0,154194,153899,153300,152550,151978,151515,150601,149667,148968,148185,147204,146158,144782,143201,141386,139841,137225,135967,135040,134283,134401,134253,133328,132906,132525,"      Northeim, Landkreis"
505,LAU,9574,18946,19774,19535,19948,20234,20717,21392,21967,22296,21802,22420,23468,23553,23520,23855,24159,24388,24863,25830,3156975,3304730,3270256,3341807,3390259,3461332,3561672,3644743,3686456,3592044,3681628,3850240,3870252,3875670,3946976,4029224,4103787,4209887,4392566,6748.0,6431.0,6083.0,6145.0,5614.0,5456.0,5288.0,4871.0,165644,166351,166657,166790,167148,167702,168314,168690,168972,169110,169048,168317,167704,167304,166767,166329,164062,164322,164782,165459,166781,168268,169323,170059,170579,"      Nürnberger Land, Landkreis"
506,ESB,9574,18946,19774,19535,19948,20234,20717,21392,21967,22296,21802,22420,23468,23553,23520,23855,24159,24388,24863,25830,3156975,3304730,3270256,3341807,3390259,3461332,3561672,3644743,3686456,3592044,3681628,3850240,3870252,3875670,3946976,4029224,4103787,4209887,4392566,6748.0,6431.0,6083.0,6145.0,5614.0,5456.0,5288.0,4871.0,165644,166351,166657,166790,167148,167702,168314,168690,168972,169110,169048,168317,167704,167304,166767,166329,164062,164322,164782,165459,166781,168268,169323,170059,170579,"      Nürnberger Land, Landkreis"
507,HEB,9574,18946,19774,19535,19948,20234,20717,21392,21967,22296,21802,22420,23468,23553,23520,23855,24159,24388,24863,25830,3156975,3304730,3270256,3341807,3390259,3461332,3561672,3644743,3686456,3592044,3681628,3850240,3870252,3875670,3946976,4029224,4103787,4209887,4392566,6748.0,6431.0,6083.0,6145.0,5614.0,5456.0,5288.0,4871.0,165644,166351,166657,166790,167148,167702,168314,168690,168972,169110,169048,168317,167704,167304,166767,166329,164062,164322,164782,165459,166781,168268,169323,170059,170579,"      Nürnberger Land, Landkreis"
508,N,9574,18946,19774,19535,19948,20234,20717,21392,21967,22296,21802,22420,23468,23553,23520,23855,24159,24388,24863,25830,3156975,3304730,3270256,3341807,3390259,3461332,3561672,3644743,3686456,3592044,3681628,3850240,3870252,3875670,3946976,4029224,4103787,4209887,4392566,6748.0,6431.0,6083.0,6145.0,5614.0,5456.0,5288.0,4871.0,165644,166351,166657,166790,167148,167702,168314,168690,168972,169110,169048,168317,167704,167304,166767,166329,164062,164322,164782,165459,166781,168268,169323,170059,170579,"      Nürnberger Land, Landkreis"
509,PEG,9574,18946,19774,19535,19948,20234,20717,21392,21967,22296,21802,22420,23468,23553,23520,23855,24159,24388,24863,25830,3156975,3304730,3270256,3341807,3390259,3461332,3561672,3644743,3686456,3592044,3681628,3850240,3870252,3875670,3946976,4029224,4103787,4209887,4392566,6748.0,6431.0,6083.0,6145.0,5614.0,5456.0,5288.0,4871.0,165644,166351,166657,166790,167148,167702,168314,168690,168972,169110,169048,168317,167704,167304,166767,166329,164062,164322,164782,165459,166781,168268,169323,170059,170579,"      Nürnberger Land, Landkreis"
510,OA,9780,15888,16959,16731,17229,17655,18080,18669,19240,19916,19728,20619,21614,22046,22082,22285,22725,23240,23738,24617,2326305,2495608,2473860,2556446,2627579,2699088,2790010,2876008,2976802,2942233,3068128,3213405,3286490,3311577,3359084,3450220,3560741,3659558,3814730,4772.0,4758.0,4827.0,5199.0,4914.0,4483.0,3906.0,4422.0,144328,144843,145166,145619,146336,147115,147890,148654,149304,149666,150190,150481,150628,150676,150320,150081,148674,149074,149968,150730,151827,153216,154164,154965,155685,"      Oberallgäu, Landkreis"
511,GM,5374,16295,16773,16714,17285,17779,18120,18613,19116,19486,18790,19212,19936,20530,20626,21036,21212,21688,22302,23194,4621989,4777926,4770817,4934600,5074304,5161067,5274632,5381709,5444761,5204548,5275424,5440591,5580196,5585807,5689203,5770534,5927305,6089733,6325384,13177.0,13470.0,12768.0,12995.0,12553.0,11833.0,10745.0,11032.0,279179,281495,282997,284585,285824,287259,288877,289773,290117,290353,290238,289100,287707,285854,283716,281812,272902,271810,270811,270454,272035,273296,273054,272720,272264,      Oberbergischer Kreis
512,OHV,12065,14135,14787,15067,15265,15524,15717,16070,16266,16691,17152,17283,17763,17999,18512,18760,19377,19965,20693,21315,2679124,2836791,2913293,2973176,3046381,3107095,3197176,3248842,3339831,3437430,3469648,3571012,3630136,3750261,3826217,3995677,4154436,4330375,4488356,15323.0,15206.0,13023.0,13525.0,12821.0,12678.0,12559.0,12028.0,168989,171896,175715,180887,186284,190463,192778,194466,195738,197508,198978,200597,201575,202115,202412,202971,201041,201681,202587,203955,206211,208082,209266,210571,212082,"      Oberhavel, Landkreis"
513,OSL,12066,12511,13045,13425,13794,14098,14181,14443,14744,15271,15742,15988,16528,16632,17075,17433,17928,18376,19186,19809,1814532,1849665,1860664,1870312,1873777,1852740,1852722,1854167,1884903,1910456,1909792,1945336,1930219,1955539,1976378,2020055,2061903,2140000,2194862,9180.0,10727.0,9566.0,7153.0,7039.0,7185.0,6553.0,6595.0,157866,155916,154124,151777,149331,146737,143596,140586,137604,135135,133093,130818,128464,126310,124311,122575,117702,116055,114527,113369,112673,112206,111542,110799,109924,"      Oberspreewald-Lausitz, Landkreis"
514,CA,12066,12511,13045,13425,13794,14098,14181,14443,14744,15271,15742,15988,16528,16632,17075,17433,17928,18376,19186,19809,1814532,1849665,1860664,1870312,1873777,1852740,1852722,1854167,1884903,1910456,1909792,1945336,1930219,1955539,1976378,2020055,2061903,2140000,2194862,9180.0,10727.0,9566.0,7153.0,7039.0,7185.0,6553.0,6595.0,157866,155916,154124,151777,149331,146737,143596,140586,137604,135135,133093,130818,128464,126310,124311,122575,117702,116055,114527,113369,112673,112206,111542,110799,109924,"      Oberspreewald-Lausitz, Landkreis"
515,SFB,12066,12511,13045,13425,13794,14098,14181,14443,14744,15271,15742,15988,16528,16632,17075,17433,17928,18376,19186,19809,1814532,1849665,1860664,1870312,1873777,1852740,1852722,1854167,1884903,1910456,1909792,1945336,1930219,1955539,1976378,2020055,2061903,2140000,2194862,9180.0,10727.0,9566.0,7153.0,7039.0,7185.0,6553.0,6595.0,157866,155916,154124,151777,149331,146737,143596,140586,137604,135135,133093,130818,128464,126310,124311,122575,117702,116055,114527,113369,112673,112206,111542,110799,109924,"      Oberspreewald-Lausitz, Landkreis"
516,ERB,6437,14730,15410,15473,15896,15945,16429,16845,16788,17418,17712,18260,18963,19395,19713,20238,20616,21076,21804,22564,1465844,1539146,1552071,1598723,1603686,1648376,1682702,1666698,1715824,1731863,1775721,1837493,1875793,1900778,1945686,1990313,2038829,2104872,2181914,2674.0,2463.0,2502.0,2722.0,2749.0,2708.0,2579.0,2558.0,97980,98686,99241,99362,99392,99476,99901,100268,100527,100481,100338,99932,99283,98525,97785,97238,96899,96717,96425,96142,96541,96737,96535,96698,96751,      Odenwaldkreis
517,LOS,12067,12866,13404,13720,14033,14417,14887,15279,15549,16015,16510,16696,17248,17449,17949,18198,18358,18973,20015,20685,2497091,2590523,2632337,2670465,2724473,2792152,2840689,2866259,2927313,2989437,2996814,3074707,3095552,3175921,3227193,3306374,3426885,3574568,3692388,12631.0,12708.0,12899.0,11914.0,12295.0,12841.0,12169.0,11688.0,189573,191678,193970,195867,196439,196489,195973,194831,193401,192477,191247,189948,188502,187462,185744,184428,178272,177406,176949,177337,180110,180623,178598,178503,178731,"      Oder-Spree, Landkreis"
518,BSK,12067,12866,13404,13720,14033,14417,14887,15279,15549,16015,16510,16696,17248,17449,17949,18198,18358,18973,20015,20685,2497091,2590523,2632337,2670465,2724473,2792152,2840689,2866259,2927313,2989437,2996814,3074707,3095552,3175921,3227193,3306374,3426885,3574568,3692388,12631.0,12708.0,12899.0,11914.0,12295.0,12841.0,12169.0,11688.0,189573,191678,193970,195867,196439,196489,195973,194831,193401,192477,191247,189948,188502,187462,185744,184428,178272,177406,176949,177337,180110,180623,178598,178503,178731,"      Oder-Spree, Landkreis"
519,EH,12067,12866,13404,13720,14033,14417,14887,15279,15549,16015,16510,16696,17248,17449,17949,18198,18358,18973,20015,20685,2497091,2590523,2632337,2670465,2724473,2792152,2840689,2866259,2927313,2989437,2996814,3074707,3095552,3175921,3227193,3306374,3426885,3574568,3692388,12631.0,12708.0,12899.0,11914.0,12295.0,12841.0,12169.0,11688.0,189573,191678,193970,195867,196439,196489,195973,194831,193401,192477,191247,189948,188502,187462,185744,184428,178272,177406,176949,177337,180110,180623,178598,178503,178731,"      Oder-Spree, Landkreis"
520,FW,12067,12866,13404,13720,14033,14417,14887,15279,15549,16015,16510,16696,17248,17449,17949,18198,18358,18973,20015,20685,2497091,2590523,2632337,2670465,2724473,2792152,2840689,2866259,2927313,2989437,2996814,3074707,3095552,3175921,3227193,3306374,3426885,3574568,3692388,12631.0,12708.0,12899.0,11914.0,12295.0,12841.0,12169.0,11688.0,189573,191678,193970,195867,196439,196489,195973,194831,193401,192477,191247,189948,188502,187462,185744,184428,178272,177406,176949,177337,180110,180623,178598,178503,178731,"      Oder-Spree, Landkreis"
521,OF,6438,18741,20062,19589,19662,19664,19916,20685,20612,20910,20964,21287,21969,22259,22374,22713,22978,23524,24096,24880,6208359,6672215,6532674,6558749,6560831,6640710,6873641,6834923,6930193,6947108,7061112,7316082,7459866,7546405,7722100,7916156,8202231,8453934,8779895,16914.0,16219.0,17039.0,16811.0,15509.0,16016.0,14891.0,14060.0,327827,329515,330934,331410,332411,334002,335910,336845,337444,337358,337875,336869,336567,336850,336873,337671,333017,335142,337283,339985,344513,348670,350837,352892,354953,"      Offenbach, Landkreis"
522,OL,3458,14836,15717,15501,16041,16235,16663,17151,17430,18117,18377,18858,19781,20395,20759,21457,21380,22206,22802,23338,1764192,1892190,1884832,1964305,1997952,2058265,2123328,2159641,2242730,2277078,2347418,2473071,2556342,2607219,2709819,2730248,2865617,2957507,3034722,7833.0,6686.0,6341.0,6420.0,6409.0,6019.0,5554.0,5810.0,111918,113555,115086,116643,118301,120093,121606,123147,124040,124772,125516,125865,126062,126082,126205,127190,125023,125339,125596,126288,127703,129046,129704,130034,130517,"      Oldenburg, Landkreis"
523,OE,5966,17750,18886,18903,20217,21335,21406,21760,21713,22707,22237,23054,23928,24770,23616,24841,25002,26156,26839,28007,2483698,2647957,2656581,2843159,2998583,3002674,3040329,3022758,3149871,3067646,3160191,3263935,3364639,3193717,3349923,3389367,3548643,3620525,3775055,6825.0,6861.0,6457.0,6646.0,5987.0,6026.0,5392.0,5259.0,137521,138322,138899,139759,140585,141088,141386,141900,142190,142076,142009,141577,141169,140752,140103,139375,136407,135834,135235,134853,135562,135674,134896,134792,134365,"      Olpe, Kreis"
524,OG,8317,16019,16584,16717,17350,17814,18145,18624,18883,19265,18824,19388,20238,20776,21097,21658,22035,22789,23289,23948,6456307,6726849,6815257,7091424,7296680,7444977,7649907,7762919,7919079,7726696,7950465,8301818,8539885,8695803,8969799,9207883,9610902,9889722,10242878,25112.0,28513.0,27228.0,26603.0,26165.0,27219.0,26138.0,23783.0,397102,400197,401725,402931,404640,406867,409834,412246,413655,414919,415971,416680,417516,417906,417535,417596,410218,411054,412189,414159,417873,421733,424646,427706,430216,"      Ortenaukreis, Landkreis"
